Matrix,Class,Subclass,ID,Terminus,Domain,Definition,Sources
0_Null,Identity,Ontologisch,N-362,Quines ontologische Sparsamkeit,PHI,Occams Rasiermesser als ontologisches Null-Prinzip: keine Entitäten über das Notwendige hinaus.,"W. V. O. Quine, On What There Is, Review of Metaphysics 2, 1948"
0_Null,Identity,Paradoxal,N-363,van Inwagens ontol. Nihilismus,PHI,"Die Frage, ob es nichts geben könnte — und warum schon die Formulierbarkeit dieser Frage problematisch ist.","Peter van Inwagen, Why Is There Anything at All?, Proc. Aristotelian Soc. Suppl. 70, 1996"
0_Null,Identity,Ontologisch,N-364,Nagarjunas Svabhāva-Freiheit,PHI,Freiheit von Eigennatur (niḥsvabhāva) als Grundbestimmung aller Dinge — Leerheit als Offenheit.,"Nagarjuna, Mūlamadhyamakakārikā (MMK), ca. 150–200 n. Chr.; trans. Siderits/Katsura, Wisdom 2013"
0_Null,Identity,Dialektisch,N-365,Nishidas absolute Negativität,PHI,Der Ort des Nichts (mu no basho): das Ich negiert sich und wird dadurch zum tragenden Grund.,"Kitarō Nishida, Basho (Ort), 1926; in: Nishida Kitarō Zenshū Bd. 4, Iwanami 1965"
0_Null,Identity,Mystisch,N-366,Nishitanis Śūnyatā vs. Nihilismus,PHI,Buddhistische Leerheit ist nicht nihilistische Leere — Śūnyatā als Fülle des Grundlosen.,"Keiji Nishitani, Religion und Nichts, 1961; dt. Alber 1982; engl. Religion and Nothingness, UC Press 1982"
0_Null,Identity,Mystisch,N-367,Ibn Arabis al-Ahadiyya,PHI,Die göttliche Einheit vor aller Differenz — das göttliche Nichts als absolute Ununterscheidbarkeit.,"Ibn Arabi, Fusūs al-Hikam (Bezels of Wisdom), ca. 1229; trans. Austin, Paulist Press 1980"
0_Null,Identity,Metaphysisch,N-368,Shankaras Nirguna Brahman,PHI,Brahman ohne Attribute — jenseits aller Bestimmung und doch Grund aller Bestimmung.,"Shankara, Brahmasūtra-Bhāṣya I,1,1, ca. 700 n. Chr.; trans. Thibaut, SBE 34, 1890"
0_Null,Identity,Ontologisch,N-369,Laozis Wú (Nicht-Sein),PHI,Das Nicht-Sein als Ursprung: §40 — Rückkehr ist die Bewegung des Tao; Schwäche ist sein Gebrauch.,"Laozi, Tao Te Ching §40, ca. 4. Jh. v. Chr.; trans. Wilhelm, Diederichs 1978"
0_Null,Identity,Mythologisch,N-370,Zhuangzis Hundun,PHI,"Das Chaos als Urgrund — Hundun stirbt, als ihm Löcher gebohrt werden: Bestimmung tötet das Unbestimmte.","Zhuangzi, Kap. 7 (Yìng dìwáng), ca. 3. Jh. v. Chr.; trans. Zhuangzi: Basic Writings, Watson, Columbia UP 2003"
0_Null,Identity,Ontologisch,N-371,Anaximanders Apeiron,PHI,"Das Grenzenlose als Urprinzip — weder Wasser noch Feuer, sondern das qualitativ Unbestimmte.","Anaximander, Frag. DK 12A9/B1, ca. 610–546 v. Chr.; in: Diels/Kranz, Die Fragmente der Vorsokratiker, 1903"
0_Null,Baseline,Ontologisch,N-372,Aristoteles' erste Materie,PHI,Die prima materia als reines Substrat ohne Form — Referenzpunkt unterhalb aller Bestimmtheit.,"Aristoteles, Physik I,7, 190a13–191a22, ca. 330 v. Chr."
0_Null,Baseline,Metaphysisch,N-373,Augustinus' ewige Wahrheiten,PHI,Die unveränderlichen Wahrheiten als Referenzrahmen alles Erkennens — der Fixstern göttlicher Ordnung.,"Augustinus, De libero arbitrio II, 8–15, 391–395 n. Chr."
0_Null,Baseline,Erkenntnis,N-374,Descartes' methodischer Zweifel,PHI,Der radikale Zweifel als methodische Null — Rückkehr auf den einzigen unzweifelhaften Referenzpunkt: cogito.,"René Descartes, Meditationes de prima philosophia, Meditatio II, 1641"
0_Null,Baseline,Metaphysisch,N-375,Spinozas sub specie aeternitatis,PHI,Die Perspektive der Ewigkeit als Baseline — der Nullpunkt jeder zeitlichen Wertung.,"Baruch de Spinoza, Ethica II, prop.44 Cor.2; V, prop.29–31, 1677"
0_Null,Baseline,Erkenntnis,N-376,Kants transzendentale Apperzeption,PHI,Das »Ich denke« als leerer Begleitgedanke aller Vorstellungen — formaler Nullpunkt des Bewusstseins.,"Immanuel Kant, Kritik der reinen Vernunft B131–132, 1787"
0_Null,Baseline,Phänomenologisch,N-377,Husserls lebendige Gegenwart,PHI,Die strömende Gegenwart als Referenz aller Zeitigung — der phänomenologische Nullpunkt der Erfahrung.,"Edmund Husserl, Vorlesungen zur Phänomenologie des inneren Zeitbewusstseins §36, 1928; Hua X"
0_Null,Baseline,Phänomenologisch,N-378,Heideggers Eigentlichkeit,PHI,Das eigentliche Sein-zum-Tode als existenziale Baseline — der Referenzpunkt jenseits des verfallenden Man.,"Martin Heidegger, Sein und Zeit §54, 1927; GA Bd. 2"
0_Null,Baseline,Sprachlich,N-379,Wittgensteins Schweigen als Grenze,PHI,"Das Schweigen als Baseline aller Sprache — der Hintergrund, vor dem Sätze überhaupt Sinn haben können.","Ludwig Wittgenstein, Tractatus logico-philosophicus §7, 1922"
0_Null,Baseline,Erkenntnis,N-380,Poppers Falsifikationsgrenze,PHI,Die Falsifizierbarkeit als Nulllinie zwischen Wissenschaft und Nicht-Wissenschaft.,"Karl Popper, Logik der Forschung §6, Springer Wien 1934"
0_Null,Baseline,Kategorisch,N-381,Rawls Schleier des Nichtwissens,PHI,Der Urzustand als normative Null — Baseline der Gerechtigkeit ohne Positionsvorteil.,"John Rawls, A Theory of Justice, Harvard UP 1971, §3, §24"
0_Null,Baseline,Erkenntnis,N-382,Apels transzendentale Pragmatik,PHI,Die ideale Kommunikationsgemeinschaft als normativer Nullpunkt — Baseline aller diskursiven Geltung.,"Karl-Otto Apel, Transformation der Philosophie Bd. II, Suhrkamp 1973"
0_Null,Baseline,Kategorisch,N-383,Habermas' herrschaftsfreier Diskurs,PHI,"Die ideale Sprechsituation als Referenz-Null ethischen Argumentierens — kontrafaktisch, aber wirksam.","Jürgen Habermas, Theorie des kommunikativen Handelns Bd. I, Suhrkamp 1981"
0_Null,Baseline,Kategorisch,N-384,Peirces Erstheit (Firstness),PHI,Die reine Qualität vor jeder Reaktion und Vermittlung — das Noch-nicht-Bestimmte als erste Kategorie.,"Charles S. Peirce, Collected Papers 1.302–303, Harvard UP 1931–1958"
0_Null,Baseline,Prozessual,N-385,Whiteheads Kreativität,PHI,"Die Kreativität als metaphysische Baseline — das unerschöpfliche Potenzialfeld, aus dem neue Actual Occasions entstehen.","Alfred N. Whitehead, Process and Reality, Cambridge UP 1929, Part I Ch. II"
0_Null,Baseline,Phänomenologisch,N-386,Bergsons durée pure,PHI,"Die reine Dauer vor der Verräumlichung — Referenzpunkt des inneren Zeitstroms, den Sprache verdeckt.","Henri Bergson, Essai sur les données immédiates de la conscience, 1889; dt. Zeit und Freiheit, Jena 1911"
0_Null,Baseline,Ontologisch,N-387,Sartres An-sich-Sein,PHI,"Das être-en-soi als volle, dichte Positivität ohne Negation — die Baseline des Dinghaften.","Jean-Paul Sartre, L'Être et le Néant, Gallimard 1943, Introduction §1"
0_Null,Baseline,Phänomenologisch,N-388,Levinas' Antlitz als Null,PHI,"Das Antlitz des Anderen als ethische Null — der Referenzpunkt, der jede Reduktion auf das Eigene verbietet.","Emmanuel Levinas, Totalité et Infini, Nijhoff 1961; dt. Totalität und Unendlichkeit, Alber 1987"
0_Null,Baseline,Phänomenologisch,N-389,Merleau-Pontys Leibnullpunkt,PHI,"Der Leib als Nullpunkt der Orientierung — das Hier, von dem aus alle räumliche Erfahrung organisiert wird.","Maurice Merleau-Ponty, Phénoménologie de la perception, Gallimard 1945, Teil II Kap. 2"
0_Null,Baseline,Ontologisch,N-390,Nagarjunas pratītyasamutpāda,PHI,Die abhängige Entstehung als Baseline aller Existenz — kein Ding hat Eigenstand außerhalb seiner Relationen.,"Nagarjuna, Mūlamadhyamakakārikā §24,18–19, ca. 150–200 n. Chr."
0_Null,Baseline,Kategorisch,N-391,Laozis Wú-wéi als Baseline,PHI,"Das Nicht-Handeln als Referenz des Handelns — die Stille, aus der wirksames Tun entspringt.","Laozi, Tao Te Ching §48, ca. 4. Jh. v. Chr.; trans. Henricks, Ballantine 1989"
0_Null,Baseline,Mystisch,N-392,Dōgens Shikantaza,PHI,Einfach sitzen als Praxis ohne Ziel — die Baseline vor aller Erfahrung und Bewertung.,"Dōgen, Shōbōgenzō: Zazengi, 1243; trans. Tanahashi, North Point Press 1985"
0_Null,Baseline,Mystisch,N-393,Plotins Henosis,PHI,"Die mystische Einung als Rückkehr in die Null — der Moment, in dem das Ich verschwindet.","Plotin, Enneaden VI,9 (Über das Gute / das Eine), ca. 270 n. Chr."
0_Null,Baseline,Mystisch,N-394,Eckharts Armut des Geistes,PHI,"Die vollständige Leere des Geistes als spirituelle Baseline: arm ist, wer nichts wünscht, nichts weiß, nichts hat.","Meister Eckhart, Predigt 52, ca. 1310; ed. Quint, DW II, Kohlhammer 1971"
0_Null,Baseline,Erkenntnis,N-395,Kants Ding an sich,PHI,"Das Noumenon als Referenz-Null aller Erkenntnis — das, was bleibt, wenn alle Erscheinung abgezogen wird.","Immanuel Kant, Kritik der reinen Vernunft B197/A158; B306–309, 1787"
0_Null,Baseline,Dialektisch,N-396,Hegels reines Anfangen,PHI,Die Frage: Womit soll die Wissenschaft anfangen? — die Null der Logik als reine Unmittelbarkeit.,"Georg W. F. Hegel, Wissenschaft der Logik I §78–83, 1812"
0_Null,Baseline,Historisch,N-397,Feuerbachs entfremdetes Gattungswesen,PHI,Das Gattungswesen als sozialer Nullpunkt — der Mensch ohne seine Projektion auf Gott als Referenz.,"Ludwig Feuerbach, Das Wesen des Christentums, 1841; Reclam 1969"
0_Null,Baseline,Historisch,N-398,Marxens Proletariat als Null,PHI,"Die Klasse ohne Klasse als gesellschaftliche Baseline — das Nichts, das alles werden kann.","Karl Marx, Zur Kritik der Hegelschen Rechtsphilosophie. Einleitung, 1844; MEW Bd. 1"
0_Null,Baseline,Historisch,N-399,Nietzsche: Tabula rasa des Willens,PHI,"Die Selbstüberwindung als Null-Reset — der Wille zur Macht beginnt dort, wo alle alten Werte gelöscht sind.","Friedrich Nietzsche, Also sprach Zarathustra I, Vorrede §3–4, 1883; KSA Bd. 4"
0_Null,Baseline,Metaphysisch,N-400,Shankaras Māyā als Baseline,PHI,Die kosmische Illusion als Baseline der Erscheinung — alles Wahrnehmbare ist Māyā auf dem Hintergrund von Brahman.,"Shankara, Vivekacūḍāmaṇi (Kronjuwel der Unterscheidung), ca. 700 n. Chr.; trans. Prabhavananda, Vedanta 1978"
0_Null,Baseline,Phänomenologisch,N-401,Ibn Sinās Fliegender Mensch,PHI,"Gedankenexperiment des sinnesberaubten, schwebenden Menschen — die Null-Baseline reinen Selbstbewusstseins.","Ibn Sina (Avicenna), Kitāb al-Shifāʾ (Buch der Heilung), ca. 1020; trans. Rahman, Oxford 1952"
0_Null,Emergence,Prozessual,N-402,Anaximanders Ausscheidung,PHI,Die Entstehung des Bestimmten aus dem Apeiron durch Ausscheidung der Gegensätze — erstes Heraustreten aus der Null.,"Anaximander, DK 12A9/A10, ca. 610–546 v. Chr.; Diels/Kranz, Fragmente der Vorsokratiker Bd. 1, 1903"
0_Null,Emergence,Metaphysisch,N-403,Platons Demiurg,PHI,"Der Weltbaumeister, der die Chōra nach den Ideen formt — Emergence des Kosmos aus dem formlosen Substrat.","Platon, Timaios 29d–30a, ca. 360 v. Chr."
0_Null,Emergence,Metaphysisch,N-404,Augustinus: creatio ex nihilo,PHI,Die Schöpfung aus dem Nichts als theologisch-ontologische Emergence — Sein entsteht ohne Voraussetzung.,"Augustinus, Confessiones XII,7; De civitate Dei XII,2, 397–426 n. Chr."
0_Null,Emergence,Metaphysisch,N-405,Plotins erste Emanation,PHI,"Das Hervorgang des Nous aus dem Einen — die erste Emergence: Das Eine tritt aus sich heraus, ohne sich zu verringern.","Plotin, Enneaden V,1 (Über die drei ursprünglichen Hypostasen), ca. 255 n. Chr."
0_Null,Emergence,Metaphysisch,N-406,Leibniz' Monadenentstehung,PHI,Die Fulguration — das plötzliche Aufleuchten der Monaden aus Gottes kontinuierlichem Schaffen.,"G. W. Leibniz, Monadologie §47, 1714; ed. Gerhardt, Phil. Schr. VI, 1885"
0_Null,Emergence,Prozessual,N-407,Schelling: Natur als Emergence,PHI,Die Natur als unbewusster Geist — die Emergence der Wirklichkeit aus dem absoluten Indifferenzpunkt.,"Friedrich W. J. Schelling, Ideen zu einer Philosophie der Natur, 1797; SW Bd. 2"
0_Null,Emergence,Dialektisch,N-408,Hegels Werden,PHI,"Das Werden als erste konkrete Kategorie — die Emergence, die entsteht, wenn Sein und Nichts ineinander übergehen.","Georg W. F. Hegel, Wissenschaft der Logik I §88–89, 1812"
0_Null,Emergence,Historisch,N-409,Marxens Entfremdungsüberwindung,PHI,Die Aufhebung der Entfremdung als gesellschaftliche Emergence — neues Bewusstsein aus dem Bruch mit dem Bestehenden.,"Karl Marx, Ökonomisch-philosophische Manuskripte, 1844; MEW Ergänzungsbd. 1"
0_Null,Emergence,Prozessual,N-410,Nietzsche: Ewige Wiederkunft,PHI,"Der schwerste Gedanke als Emergence-Test: kannst du das Leben so wollen, dass es ewig wiederkehren soll?","Friedrich Nietzsche, Die fröhliche Wissenschaft §341, 1882; Also sprach Zarathustra III, 1884; KSA 3/4"
0_Null,Emergence,Prozessual,N-411,Bergsons élan vital,PHI,Die Lebenskraft als Emergence-Prinzip — das Aufbrechen des Mechanischen durch den schöpferischen Lebensschwung.,"Henri Bergson, L'Évolution créatrice, Alcan 1907; dt. Schöpferische Evolution, Jena 1912"
0_Null,Emergence,Phänomenologisch,N-412,Husserls Urstiftung,PHI,"Die ursprüngliche Stiftung von Sinn — der erste Konstitutionsakt, aus dem alle weiteren Folgen sich ableiten.","Edmund Husserl, Die Krisis der europäischen Wissenschaften §9h, 1936; Hua VI"
0_Null,Emergence,Phänomenologisch,N-413,Heideggers Geworfenheit,PHI,Das Dasein findet sich immer schon in einer Situation vor — Emergence als Faktum der Existenz.,"Martin Heidegger, Sein und Zeit §29, 1927; GA Bd. 2"
0_Null,Emergence,Phänomenologisch,N-414,Sartres Wahl-Emergence,PHI,"Die radikale Freiheit als Emergence-Akt: Der Mensch ist verurteilt, frei zu sein — er tritt aus dem Nichts heraus.","Jean-Paul Sartre, L'existentialisme est un humanisme, Nagel 1945; dt. Rowohlt 1960"
0_Null,Emergence,Phänomenologisch,N-415,Merleau-Pontys Leibemergenz,PHI,"Bedeutung emergiert nicht im Geist, sondern in der leiblichen Praxis — Sinn entsteht im Tun des Leibes.","Maurice Merleau-Ponty, Phénoménologie de la perception, Gallimard 1945, Teil I"
0_Null,Emergence,Sprachlich,N-416,Derridas Spur,PHI,"Die Spur als Emergence-Figur — das Anwesen des Abwesenden, das jede Bedeutung erst ermöglicht.","Jacques Derrida, De la grammatologie, Minuit 1967; dt. Grammatologie, Suhrkamp 1974"
0_Null,Emergence,Kategorisch,N-417,Habermas' kommunikative Emergenz,PHI,"Rationalität emergiert nicht im Subjekt, sondern in der Praxis des Argumentierens.","Jürgen Habermas, Theorie des kommunikativen Handelns Bd. II, Suhrkamp 1981"
0_Null,Emergence,Historisch,N-418,Foucaults Diskurs-Emergence,PHI,Die Entstehung von Wahrheit aus diskursiven Praktiken — Wissen emergiert aus Machtverhältnissen.,"Michel Foucault, L'archéologie du savoir, Gallimard 1969; dt. Archäologie des Wissens, Suhrkamp 1973"
0_Null,Emergence,Historisch,N-419,Kuhns Paradigmen-Emergence,PHI,Das neue Paradigma emergiert nach der Krise — die wissenschaftliche Revolution als ontologischer Null-Reset.,"Thomas S. Kuhn, The Structure of Scientific Revolutions, U of Chicago Press 1962"
0_Null,Emergence,Prozessual,N-420,Whiteheads Konkreszenz,PHI,Das Zusammenwachsen von Prehensionen zur Actual Occasion — Emergence als das Werden eines Ereignisses.,"Alfred N. Whitehead, Process and Reality, Cambridge UP 1929, Part III Ch. I"
0_Null,Emergence,Erkenntnis,N-421,Peirces Abduktion,PHI,"Der abduktive Schluss als Emergence neuer Hypothesen — die einzige Erkenntnisart, die wirklich Neues erzeugt.","Charles S. Peirce, Collected Papers 5.171; 5.189, Harvard UP 1931–1958"
0_Null,Emergence,Ontologisch,N-422,Nagarjunas Zwei-Wahrheits-Emergence,PHI,Die konventionelle Wahrheit emergiert auf dem Hintergrund der absoluten Leerheit — beide Wahrheiten bedingen sich.,"Nagarjuna, MMK §24,8–10; Chandrakīrti, Madhyamakāvatāra, ca. 600 n. Chr."
0_Null,Emergence,Mystisch,N-423,Dōgens Genjōkōan,PHI,Das Sich-Verwirklichen der Dinge (genjō) — Emergence als das Offenbarwerden der Buddhanatur im konkreten Vollzug.,"Dōgen, Shōbōgenzō: Genjōkōan, 1233; trans. Tanahashi, North Point Press 1985"
0_Null,Emergence,Ontologisch,N-424,Laozis Tao als Emergence,PHI,"§1: Das Tao, das sich benennen lässt, ist nicht das ewige Tao — die Emergence des Benennbaren aus dem Nicht-Benennbaren.","Laozi, Tao Te Ching §1, ca. 4. Jh. v. Chr.; trans. Wilhelm, Diederichs 1978"
0_Null,Emergence,Mystisch,N-425,Ibn Arabis Tajallī,PHI,Die göttliche Selbstoffenbarung — Gott offenbart sich stufenweise in der Schöpfung als Emergence seiner eigenen Namen.,"Ibn Arabi, Al-Futūḥāt al-Makkiyya (Mekkanische Offenbarungen), ca. 1203–1240; teilw. trans. Addas 1993"
0_Null,Emergence,Prozessual,N-426,Plotins Epistrophē,PHI,Die Rückkehrbewegung der Seele zum Einen — die Emergence des Höheren aus der Sehnsucht nach dem Ursprung.,"Plotin, Enneaden I,6 (Über das Schöne), ca. 255 n. Chr."
0_Null,Emergence,Paradoxal,N-427,Anselms ontologisches Argument,PHI,Das Sein emergiert aus dem Begriff des Vollkommensten — Existence aus reiner Denknotwendigkeit.,"Anselm von Canterbury, Proslogion II–III, 1077–1078; ed. Schmitt, Edinburgh 1946"
0_Null,Emergence,Prozessual,N-428,Spinozas conatus,PHI,"Der Selbsterhaltungstrieb als Emergence-Kraft — jedes Ding strebt danach, in seinem Sein zu verharren.","Baruch de Spinoza, Ethica III, prop.6–7, 1677"
0_Null,Emergence,Prozessual,N-429,Schellings Weltseele,PHI,Die Weltseele als Emergence-Prinzip der Natur — das Band zwischen organischem und anorganischem Bereich.,"Friedrich W. J. Schelling, Von der Weltseele, 1798; SW Bd. 2"
0_Null,Emergence,Dialektisch,N-430,Hegels Aufhebung,PHI,"Die dreifache Aufhebung (tollere/conservare/elevare) als Emergence — Negation, Bewahrung und Erhebung in einem Akt.","Georg W. F. Hegel, Wissenschaft der Logik I §96; Enzyklopädie §81 Anm., 1817/1830"
0_Null,Emergence,Prozessual,N-431,Peirces evolutionary love,PHI,Agapismus — die Emergence höherer Ordnung durch Liebe als kosmisches Evolutionsprinzip.,"Charles S. Peirce, The Law of Mind, The Monist 2(4), 1892; CP 6.102–163"
0_Null,Emergence,Historisch,N-432,Foucaults Genealogie,PHI,"Die Herkunft als Emergence-Analyse — nicht der Ursprung, sondern das Entstehen aus Kräfteverhältnissen.","Michel Foucault, Nietzsche, la généalogie, l'histoire, in: Hommage à Hyppolite, PUF 1971"
0_Null,Emergence,Prozessual,N-433,Deleuzes Differenz,PHI,"Die Differenz als ontologische Emergence-Kraft — Sein ist Differenz, nicht Identität; das Neue entsteht aus Wiederholung.","Gilles Deleuze, Différence et répétition, PUF 1968; dt. Differenz und Wiederholung, Fink 1992"
1_Unity,Identity,Ontologisch,U-251,Parmenides' Hen (das Eine Sein),PHI,"Das Eine als das einzig Seiende — ungeteilt, ungeworden, unbeweglich, vollkommen in sich.","Parmenides, Über die Natur, Frag. B8, ca. 480 v. Chr.; Diels/Kranz, Vorsokratiker Bd. 1"
1_Unity,Identity,Metaphysisch,U-252,Platons Idee des Guten,PHI,Das Gute jenseits des Seins (epekeina tēs ousias) — Quell aller Wahrheit und Erkennbarkeit.,"Platon, Politeia VI, 509b, ca. 375 v. Chr."
1_Unity,Identity,Metaphysisch,U-253,Platons Eidos als Einheit,PHI,"Die Idee als das Eine hinter der Vielheit — die gemeinsame Form, an der die Einzeldinge teilhaben.","Platon, Phaidon 65d; Parmenides 132a, ca. 385–370 v. Chr."
1_Unity,Identity,Metaphysisch,U-254,Aristoteles' unbewegter Beweger,PHI,"Das erste Prinzip als reine Aktualität — sich selbst denkendes Denken, das alles bewegt, ohne bewegt zu werden.","Aristoteles, Metaphysik XII,7, 1072a25–1073a13, ca. 330 v. Chr."
