Matrix,Class,Subclass,ID,Terminus,Domain,Definition,Sources
0_Null,Baseline,Normativ,N-184,Zero-Poverty Target,SOC,Die ethische Baseline der Menschheit.,
0_Null,Baseline,Systemisch,N-185,Zero-Death Safety,SOC,Das Ideal der unfehlbaren Infrastruktur.,
0_Null,Baseline,Systemisch,N-186,Zero-Conflict Consensus,SOC,Der Zustand ohne systemische Reibung.,
0_Null,Baseline,Normativ,N-187,Zero-Impact Design,ECO,Gestaltung, die keine Spuren im Reservoir hinterlÃ¤sst.,
0_Null,Baseline,Systemisch,N-188,Zero-Input Growth,ECO,Autarkes Wachstum aus dem internen Potenzial.,
0_Null,Baseline,Systemisch,N-189,Zero-Energy Building,TEC,Die energetische Null-Autarkie.,
0_Null,Baseline,Physikalisch,N-190,Zero-G Drift,PHY,Die Baseline der krÃ¤ftefreien Bewegung.,
0_Null,Baseline,Systemisch,N-191,Zero-Velocity Anchor,PHY,Der statische Referenzpunkt im Raum.,
0_Null,Baseline,Referenziell,N-192,Zero-Initialization ML,TEC,Die Tabula Rasa des kÃ¼nstlichen Geistes.,
0_Null,Baseline,Physikalisch,N-193,Zero-Gravity Parabol,PHY,Der experimentelle Raum der Feldneutralisierung.,
0_Null,Baseline,Physikalisch,N-194,Zero-Point Motion,PHY,Die unendliche Bewegung am absoluten Nullpunkt.,
0_Null,Baseline,Physikalisch,N-195,Casimir-Baseline,PHY,Der Druckunterschied zwischen zwei Nullen.,
0_Null,Baseline,Physikalisch,N-196,Lamb-Shift Baseline,PHY,Die Korrektur der Baseline durch Eigenenergie.,
0_Null,Baseline,Physikalisch,N-197,Dirac-See Zero,PHY,Die vollbesetzte Baseline des Nichts.,
0_Null,Baseline,Physikalisch,N-198,Fermi-Level Baseline,PHY,Die energetische Wasserscheide im Kristall.,
0_Null,Baseline,Physikalisch,N-199,Hubble-Hintergrund,PHY,Die Expansions-Baseline des Horizonts.,
0_Null,Baseline,Physikalisch,N-200,Machscher Raumhintergr.,PHI,Die Baseline der TrÃ¤gheit durch das All-Eins.,
0_Null,Baseline,Optik,N-220,Dark Frame (Kamera),TEC,Die Dunkel-Baseline des digitalen Sehens.,
0_Null,Baseline,Optik,N-221,WeiÃŸabgleich-Null,TEC,Die farbmetrische Baseline der Wahrnehmung.,
0_Null,Baseline,Ontologisch,N-222,Relationaler Fixstern,PHI,Das unverrÃ¼ckbare Fundament der Baseline.,
0_Null,Identity,Strukturell,N-001,Additive IdentitÃ¤t (0),MAT,Der neutrale Operator der Addition (x+0=x).,
0_Null,Identity,Strukturell,N-002,Peano-IdentitÃ¤t (Axiom),MAT,Das Fundament der natÃ¼rlichen Zahlen (0 als Startpunkt).,
0_Null,Identity,Logisch,N-003,Multiplikative Annihil.,MAT,Information zu neutralisieren (x * 0=0).,Peano 1889
0_Null,Identity,Strukturell,N-004,Nullvektor (Vektorraum),MAT,Der Ursprung linearer Strukturen.,Cayley 1858
0_Null,Identity,Strukturell,N-005,Nullmatrix (Lineare Alg.),MAT,Die Matrix, die jeden Vektor auf den Ursprung abbildet.,
0_Null,Identity,Strukturell,N-006,Null-Modul,MAT,Die triviale algebraische Struktur Ã¼ber einem Ring.,
0_Null,Identity,Strukturell,N-007,Null-Ring,MAT,Ein Ring mit nur einem Element (0).,
0_Null,Identity,Strukturell,N-008,Triviale Gruppe ({0}),MAT,Die kleinste mÃ¶gliche Gruppierungs-Symmetrie.,
0_Null,Identity,Strukturell,N-009,Nullraum (Kernel),MAT,Die Menge aller Elemente, die unter einer Abbildung verschwinden.,
0_Null,Identity,Strukturell,N-010,Null-Polynom,MAT,Die Funktion, die Ã¼berall den Wert Null annimmt.,
0_Null,Identity,Logisch,N-011,Leere Menge (âˆ…),MAT,Die Menge, die keine Elemente enthÃ¤lt (Basis der Mengenlehre).,
0_Null,Identity,Strukturell,N-012,Null-Topologie,MAT,Die grÃ¶bstmÃ¶gliche Struktur eines Raumes.,
0_Null,Identity,Strukturell,N-013,Null-Homomorphie,MAT,Eine Abbildung, die alle Elemente auf das Neutrum sendet.,
0_Null,Identity,Strukturell,N-014,Null-Ideal,MAT,Das Ideal, das nur das Nullelement enthÃ¤lt.,
0_Null,Identity,Strukturell,N-015,Null-Kette,MAT,Ein Komplex ohne Variation in der Homologie.,
0_Null,Identity,Strukturell,N-016,Null-Operator (T=0),MAT,Ein Operator, der das System in den Grundzustand versetzt.,
0_Null,Identity,Logisch,N-017,Null-Sequenz (Cauchy),MAT,Eine Folge, die gegen das Nichts konvergiert.,
0_Null,Identity,Strukturell,N-018,Null-Funktion (f=0),MAT,Die Abbildung der totalen Potenz ohne Manifestation.,
0_Null,Identity,Strukturell,N-019,Null-Form (Diff.-Geom.),MAT,Ein Feld ohne KrÃ¼mmung oder Spannung.,
0_Null,Identity,Strukturell,N-020,Nullstellensatz-Fixpunkt,MAT,Der Punkt, an dem die Gleichung ihre Antwort findet.,
0_Null,Identity,Logisch,N-021,Determinante Null,MAT,Ein System ohne Eigen-Volumen (SingularitÃ¤t).,
0_Null,Identity,Paradoxal,N-022,Null-Divisor,MAT,Das Element, das die IntegritÃ¤t des Ringes bricht.,
0_Null,Identity,Logisch,N-023,Boolesche Null (Falsch),TEC,Der Zustand der Nicht-Aktivierung im binÃ¤ren System.,
0_Null,Identity,Logisch,N-024,Logisches Nichts (Â¬âˆƒ),PHI,Die formale Abwesenheit von PrÃ¤dikaten.,
0_Null,Identity,Logisch,N-025,BinÃ¤re Null (Bit 0),TEC,Die Baseline der digitalen Information.,
0_Null,Identity,Logisch,N-026,Wahrscheinlichkeit Null,MAT,Die Grenze der UnmÃ¶glichkeit in der Stochastik.,
0_Null,Identity,Logisch,N-027,Triviales MaÃŸ (Î¼=0),MAT,Ein Raum ohne Ausdehnung in der Integration.,
0_Null,Identity,Logisch,N-028,Triviale LÃ¶sung (y=0),MAT,Die RÃ¼ckkehr zum Ursprung bei jeder Gleichung.,
0_Null,Identity,Logisch,N-029,Null-Konvergenz,MAT,Die Stabilisierung auf dem Neutrum.,
0_Null,Identity,Kategorisch,N-030,Initialobjekt (Category),MAT,Das Objekt, von dem genau ein Pfeil ausgeht.,
0_Null,Identity,Kategorisch,N-031,Terminalobjekt (Dual),MAT,Das Objekt, in dem alle Pfeile zusammenlaufen.,
0_Null,Identity,Kategorisch,N-032,Null-Morphismus,MAT,Der Pfeil, der Information neutralisiert.,
0_Null,Identity,Kategorisch,N-033,Null-Kategorie,MAT,Ein System ohne interne Differenzierung.,
0_Null,Identity,Ontologisch,N-034,Parmenides' reines Sein,PHI,Das UnverÃ¤nderliche jenseits der Erscheinung.,
0_Null,Identity,Metaphysisch,N-035,Plotins "Das Eine" (0),PHI,Die absolute Symmetrie vor der Vielheit.,
0_Null,Identity,Metaphysisch,N-036,Anselms reine Potenz,PHI,Der Zustand vor der Aktualisierung.,
0_Null,Identity,Logisch,N-037,Aristoteles' leere Kat.,PHI,Die reine Form ohne Inhalt.,
0_Null,Identity,Erkenntnis,N-038,Kants Grenze Nichts,PHI,Das Noumenon jenseits der Erfahrung.,
0_Null,Identity,Dialektisch,N-039,Hegels dialekt. Neutr.,PHI,Die Aufhebung der Differenz im Begriff.,
0_Null,Identity,Logisch,N-040,Russells kategoriale Leere,PHI,Das Paradoxon der Menge ohne Eigenschaften.,
0_Null,Identity,Ontologisch,N-041,Ontische Stille,PHI,Das Reservoir als Abwesenheit von Signal bei voller PotenzialitÃ¤t.,
0_Null,Identity,Physikalisch,N-042,Frequenz-Reservoir,PHY,Die Gesamtheit aller mÃ¶glichen Oszillaten im Vakuum.,
0_Null,Identity,Physisch,N-043,FlÃ¼ssig (Fluss-Potenzial),PHY,Die Symmetrie der KohÃ¤sion.,
0_Null,Identity,Physisch,N-044,Fest (Struktur-Potenzial),PHY,Die Baseline der rÃ¤umlichen Fixierung.,
0_Null,Identity,Physisch,N-045,Glas (Dialektik-Potenzial),PHY,Die amorphe Ruhe zwischen Ordnung und Chaos.,
0_Null,Identity,Physisch,N-046,Suprafluid (Einheits-Null),PHY,Reibungsloser Fluss als Ausdruck von Quanten-Null.,
0_Null,Identity,Physisch,N-047,BEC (RelationalitÃ¤ts-0),PHY,Die totale KohÃ¤renz als kollektives Nichts.,
0_Null,Identity,Logisch,N-048,IdentitÃ¤re Relation (x=x),MAT,Die Baseline jeder Logik (Selbstbezug).,
0_Null,Identity,Logisch,N-049,Tautologische Leere,PHI,Die Wahrheit ohne Informationsgehalt (A=A).,
0_Null,Identity,Strukturell,N-050,Fixpunkt (Banach),MAT,Der Punkt, der unter Transformation null bleibt.,
0_Null,Identity,Logisch,N-051,Absorbens (Boolesche 0),MAT,Das logische Schwarze Loch.,
0_Null,Identity,PhÃ¤nomenologisch,N-052,Neurokognitive Selbst-ID,PSY,Das "Ich" als stabiler Referenzpunkt ohne Inhalt.,
0_Null,Identity,PhÃ¤nomenologisch,N-053,Kern-Ich KohÃ¤renz,PSY,Die StabilitÃ¤t des Selbstbewusstseins im Tiefschlaf.,
0_Null,Identity,Systemisch,N-054,Autopoi. Selbstreferenz,SOC,Die SchlieÃŸung des Systems auf seinen Ursprung.,
0_Null,Identity,Ontologisch,N-055,Phasenontologische Null,PHI,Der Moment zwischen zwei ZustÃ¤nden.,
0_Null,Identity,Kategorisch,N-056,Apophatische Null (Gott),PHI,Die Erkenntnis Gottes durch Negation.,
0_Null,Identity,Paradoxal,N-057,Brahman (attributlos),PHI,Die letzte RealitÃ¤t jenseits aller Namen.,
0_Null,Identity,Psychol.,N-058,Inhaltsleerer Selbstbezug,PSY,Meditation als RÃ¼ckkehr zur Null-Matrix.,
0_Null,Identity,Strukturell,N-059,Strukturelle NeutralitÃ¤t,MAT,Die Eigenschaft der Unvoreingenommenheit.,
0_Null,Identity,Kategorisch,N-060,Kategorische Einheit,PHI,Die Zusammenfassung aller Nullen zu einer Klasse.,
0_Null,Identity,Physisch,N-061,Invarianz-Punkt,PHY,Der Ort, an dem Naturgesetze starr bleiben.,
0_Null,Identity,Logisch,N-062,Logische Punktierung,MAT,Die Setzung eines Ursprungs im Nichts.,
0_Null,Identity,Soziologisch,N-063,Systemischer Fixpunkt,SOC,Der Konsens, der keine Diskussion benÃ¶tigt.,
0_Null,Identity,Geometrisch,N-064,Fraktal-projektive Null,MAT,Der Skalierungspunkt der Unendlichkeit.,
0_Null,Identity,Physisch,N-065,Holografische Basis,PHY,Die Information am Horizont, die im Volumen null wird.,
0_Null,Identity,Metaphysisch,N-066,Relationaler Ursprung,PHI,Der "Nullte Tag" der Genese.,
0_Null,Identity,Geometrisch,N-067,Additiver Nullpunkt,MAT,Das Zentrum des Koordinatensystems.,
0_Null,Identity,Physisch,N-068,Isotropie-Null,PHY,Das Fehlen jeglicher RichtungsprÃ¤ferenz.,
0_Null,Identity,Physisch,N-069,HomogenitÃ¤ts-Null,PHY,Die Abwesenheit von Variation im Raum.,
0_Null,Identity,Geometrisch,N-070,Symmetrie-Zentrum,MAT,Der Punkt der totalen Ausgewogenheit.,
0_Null,Identity,Strukturell,N-071,Vektor-Offset Null,MAT,Die reine Transformation ohne Verschiebung.,
0_Null,Identity,Strukturell,N-072,Skala-NeutralitÃ¤t,MAT,UnabhÃ¤ngigkeit von der MaÃŸeinheit.,
0_Null,Identity,Strukturell,N-073,Norm-Minimum,MAT,Die LÃ¤nge Null als Kriterium der IdentitÃ¤t.,
0_Null,Identity,Geometrisch,N-074,OrthogonalitÃ¤ts-Null,MAT,Das Verschwinden des Skalarprodukts.,
0_Null,Identity,Topologisch,N-075,Kern-Dimension Null,MAT,Der Punkt ohne Ausdehnung.,
0_Null,Identity,Strukturell,N-076,Nullstellensatz,MAT,Die Existenzgarantie fÃ¼r LÃ¶sungen im Nichts.,
0_Null,Identity,Strukturell,N-077,Residuen-Null,MAT,Das Verschwinden von Fehlern im Idealfall.,
0_Null,Identity,Strukturell,N-078,Eigenwert Null,MAT,Die Kompression einer Achse auf den Ursprung.,
0_Null,Identity,Strukturell,N-079,Null-Spur (Matrix),MAT,Ein System ohne Netto-Wachstum in den Diagonalen.,
0_Null,Identity,Strukturell,N-080,Rang-Null Matrix,MAT,Die totale Entartung der Information.,
0_Null,Identity,Topologisch,N-081,Null-Modul-Garbe,MAT,Die lokale Leere in der Garbentheorie.,
0_Null,Identity,Topologisch,N-082,Null-Homotopie-Klasse,MAT,Eine Schleife, die auf einen Punkt schrumpfbar ist.,
0_Null,Identity,Topologisch,N-083,Null-Kohomologie,MAT,Das Fehlen von LÃ¶chern in der Struktur.,
0_Null,Identity,Topologisch,N-084,Null-Mannigfaltigkeit,MAT,Der leere Raum als topologisches Objekt.,
0_Null,Identity,Geometrisch,N-085,Null-BÃ¼ndel,MAT,Ein FaserbÃ¼ndel ohne Variation.,
0_Null,Identity,Geometrisch,N-086,Null-Schnitt,MAT,Die triviale Einbettung einer Struktur.,
0_Null,Identity,Geometrisch,N-087,Null-KrÃ¼mmung (Trivial),MAT,Die flache Ebene des Denkens.,
0_Null,Identity,RelativitÃ¤t,N-088,Null-GeodÃ¤te,PHY,Der Weg des Lichts in der Raumzeit.,
0_Null,Identity,Physikalisch,N-089,Null-Tensor,MAT,Ein Feld ohne jegliche physikalische Wirkung.,
0_Null,Identity,Quanten,N-090,Null-Spin Zustand,PHY,Der totale Symmetriezustand eines Teilchenpaars.,
0_Null,Identity,Quanten,N-091,ParitÃ¤t Null,PHY,Die Ununterscheidbarkeit von Spiegelbildern.,
0_Null,Identity,Quanten,N-092,Ladung Null (Neutrum),PHY,Die Abwesenheit elektromagnetischer Kopplung.,
0_Null,Identity,RelativitÃ¤t,N-093,Masse Null (Photon),PHY,Reine Energie ohne Ruhe-Inertia.,
0_Null,Identity,Mechanik,N-094,Impuls Null (Ruhe),PHY,Der absolute Stillstand im Referenzrahmen.,
0_Null,Identity,Thermodyn.,N-095,Energie Null (Reset),PHY,Der fiktive Punkt der totalen AuslÃ¶schung.,
0_Null,Identity,Kosmol.,N-096,Zeit Null (SingularitÃ¤t),PHY,Der Moment vor der KausalitÃ¤t.,
0_Null,Identity,Gravitation,N-097,Radius Null (Punktmasse),PHY,Das mathematische Zentrum eines schwarzen Lochs.,
0_Null,Identity,Thermodyn.,N-098,Entropie Null (Zustand),PHY,Die perfekte Ordnung im Kristall am Nullpunkt.,
0_Null,Identity,Information,N-099,Information Null (Rauschen),TEC,Die totale Unvorhersagbarkeit (WeiÃŸes Rauschen).,
0_Null,Identity,Musikalisch,N-100,Stille-IdentitÃ¤t,MUS,Die Pause als definierter Raum.,
0_Null,Identity,Physisch,N-101,Null-LautstÃ¤rke,MUS,Die Abwesenheit von Amplituden.,
0_Null,Identity,Elektronik,N-102,Frequenz Null (Gleichst.),TEC,Das Signal ohne Oszillation.,
0_Null,Identity,Physikalisch,N-103,Widerstand Null (Supral.),PHY,Der verlustfreie Informationsfluss.,
0_Null,Identity,Physisch,N-104,Reibung Null (Ideal),PHY,Die ungestÃ¶rte Dynamik des Geistes.,
0_Null,Identity,Elektronik,N-105,KapazitÃ¤t Null,TEC,Ein Speicher ohne Retention.,
0_Null,Identity,Elektronik,N-106,InduktivitÃ¤t Null,TEC,Ein Kreis ohne TrÃ¤gheit.,
0_Null,Identity,Elektronik,N-107,LeitfÃ¤higkeit Null,TEC,Die totale Isolation (Vakuum).,
0_Null,Identity,Optisch,N-108,Reflexion Null (Schwarz),PHY,Die totale Absorption des Lichts.,
0_Null,Identity,Optisch,N-109,Transmission Null (Opak),PHY,Die absolute Barriere fÃ¼r Information.,
0_Null,Identity,Optisch,N-110,Brechungsindex Null,PHY,Das Reisen im unendlichen Potenzial.,
0_Null,Identity,Ontologisch,N-111,Die trinitÃ¤re Null,PHI,Das Zusammenfallen von R0, R1 und RL im Ursprung.,
0_Null,Emergence,Dynamisch,N-223,Vakuumfluktuation (Sp.),PHY,Spontane Teilchen-Paarbildung.,Zeldovich 1967
0_Null,Emergence,Paradoxal,N-224,SchÃ¶pferisches Nichts,PHI,Die Leere, die zur Form drÃ¤ngt.,Hegel 1812
0_Null,Emergence,Dynamisch,N-225,Hegels Werden (Ãœbergang),PHI,Synthese aus Sein und Nichtsein.,Hegel 1812
0_Null,Emergence,PhÃ¤nomenologisch,N-226,Heideggers Nichten,PHI,Der aktive Prozess der Ent-TÃ¤uschung der Welt.,
0_Null,Emergence,PhÃ¤nomenologisch,N-227,Sartres NÃ©ant (Freiheit),PHI,Die LÃ¼cke in der KausalitÃ¤t, die Freiheit ermÃ¶glicht.,
0_Null,Emergence,Dynamisch,N-228,Apoptose (Zelltod),PHY,Der programmierte Zerfall als Impuls fÃ¼r Erneuerung.,
0_Null,Emergence,Dynamisch,N-229,NULL-Pointer (Crash),TEC,Der systemische Zusammenbruch als Warnsignal.,
0_Null,Emergence,Dynamisch,N-230,Zero-Day Vulnerability,TEC,Die unvorhersehbare LÃ¼cke in der Sicherheit.,
0_Null,Emergence,Dynamisch,N-231,Zero-Shot Learning,TEC,Die Emergenz von Wissen ohne Training.,
0_Null,Emergence,Dynamisch,N-232,Zero-Intelligence Trad.,SOC,Marktdynamik ohne kognitiven Input (Emergenz).,
0_Null,Emergence,Paradoxal,N-233,Shunyata (Ur-Leerheit),PHI,Der schÃ¶pferische Urgrund des Buddhismus.,
0_Null,Emergence,Paradoxal,N-234,Nirvana (AuflÃ¶sung),PHI,Die endgÃ¼ltige Befreiung vom Manifesten.,
0_Null,Emergence,Paradoxal,N-235,Strange Loop Identity,PHI,Die Emergenz des Ich aus dem Nichts der Logik.,
0_Null,Emergence,Paradoxal,N-236,Zen-Mu (Nicht-Sein),PHI,Die Antwort jenseits der binÃ¤ren Entscheidung.,
0_Null,Emergence,Dynamisch,N-237,Bhanga (Phys. Zerfall),PHY,Die AuflÃ¶sung der Form in das Reservoir.,
0_Null,Emergence,PhÃ¤nomenologisch,N-238,Kreatives Vergessen (N),PSY,Die LÃ¶schung zur Schaffung neuer AssoziationsrÃ¤ume.,
0_Null,Emergence,Dynamisch,N-239,Neu-Integration,PSY,Die Heilung durch RÃ¼ckkehr zur Null-Baseline.,
0_Null,Emergence,Dynamisch,N-240,Zero Cost Abstraction,TEC,KomplexitÃ¤t ohne Performance-Verlust.,
0_Null,Emergence,Dynamisch,N-241,Zero Copy (Network),TEC,Informationsfluss ohne Redundanz-StÃ¶rung.,
0_Null,Emergence,Dynamisch,N-242,Zero Trust Architecture,TEC,Die radikale Skepsis als neue Sicherheitsform.,
0_Null,Emergence,Dynamisch,N-243,Netto-Null GebÃ¤ude,TEC,Emergenz autarker LebensrÃ¤ume.,
0_Null,Emergence,Dynamisch,N-244,Nullzins-Vortex,ECO,Der Kollaps des Kapitals in eine neue Logik.,
